url,score
https://www.nytimes.com/2018/03/29/us/politics/trump-infrastructure-trade-deal-south-korea.html,0.39679873
https://www.nytimes.com/2018/03/28/us/politics/trump-roseanne-barr-ratings.html,0.3683394
https://www.nytimes.com/aponline/2018/03/29/us/politics/ap-us-trump-biden.html,0.31299722
https://www.nytimes.com/aponline/2018/03/29/us/politics/ap-us-pentagon-the-wall.html,0.30652392
https://www.nytimes.com/2018/03/29/us/politics/trump-amazon-taxes.html,0.29153258
https://www.nytimes.com/aponline/2018/03/29/us/ap-us-trump-roseanne-barr-the-latest.html,0.26820135
https://www.nytimes.com/aponline/2018/03/29/us/ap-us-trump-businesses-lawsuit-lepage.html,0.26494592
https://www.nytimes.com/reuters/2018/03/29/business/29reuters-amazon-com-trump-whitehouse.html,0.2621342
https://www.nytimes.com/aponline/2018/03/29/us/ap-us-apprentice-contestant-trump.html,0.26192114
https://www.nytimes.com/reuters/2018/03/29/us/29reuters-usa-trump-veterans.html,0.2615739
